Du;Au;Nom de la course;Catégorie;Organisateur;Discipline;Département;lieu
07/08/23;07/08/23;75E PRIX DE SAINT GERMAIN L'HERM;Open3 hommes et +;VELO CLUB AMBERTOIS ;Route;63;SAINT GERMAIN L'HERM
07/08/23;07/08/23;SEMAINE CANTALIENNE #3;Open1 hommes et +;V C PAYS DE SAINT-FLOUR ;Route;15;RUYNES-EN-MARGERIDE
07/08/23;07/08/23;SEMAINE CANTALIENNE DES JEUNES #2;U17 hommes;V C PAYS DE SAINT-FLOUR ;Route;15;
07/08/23;07/08/23;GP DE MONTMARAULT;Open1 hommes et +;CLASSIC JEAN PATRICK DUBUISSON ORGANISATIONS ;Route;3;MONTMARAULT
06/08/23;06/08/23;TROPHEE DES GRIMPEURS COL DE PEYRA TAILLADE;Grimpée chronométrée;VELO SPORT BRIVADOIS ;Route;43;PRADES
06/08/23;06/08/23;33ÈME PRIX DE THAIRY;U17 hommes;V.C. ST JULIEN EN GENEVOIS;Route;74;THAIRY
06/08/23;06/08/23;33ÈME PRIX DE THAIRY;U15+U17 femmes;V.C. ST JULIEN EN GENEVOIS;Route;74;THAIRY
06/08/23;06/08/23;GRAND PRIX DE LONGES;Elites hommes (régional) et +;UNION CYCLISTE PÉLUSSIN;Route;69;LONGES
06/08/23;06/08/23;SOUVENIR PIERRE CHANY;Elites hommes (régional) et +;UNION CYCLISTE LE PUY EN VELAY ;Route;43;LANGEAC
06/08/23;06/08/23;SOUVENIR PIERRE CHANY;Access hommes;UNION CYCLISTE LE PUY EN VELAY ;Route;43;LANGEAC
06/08/23;06/08/23;SOUVENIR PIERRE CHANY;U19 hommes régional;UNION CYCLISTE LE PUY EN VELAY ;Route;43;LANGEAC
06/08/23;06/08/23;SOUVENIR PIERRE CHANY;U17 hommes;UNION CYCLISTE LE PUY EN VELAY ;Route;43;LANGEAC
06/08/23;06/08/23;GRAND PRIX DE LA VILLE ;Open1 hommes et +;SPRINTER CLUB AURILLACOIS;Route;15;AURILLAC
06/08/23;06/08/23;CYCLOSPORTIVE LA MADELEINE;Cyclosportive;CHAMBERY CYCLISME ORGANISATION;Route;73;LA CHAMBRE / SAINT FRANCOIS LONGCHAMP
06/08/23;06/08/23;PRIX DE MONTREVEL EN BRESSE;Open3 hommes et +;BOURG EN BRESSE AIN CYCLISME;Route;1;MONTREVEL EN BRESSE
06/08/23;06/08/23;PRIX DE MONTREVEL EN BRESSE;Elites hommes (régional) et +;BOURG EN BRESSE AIN CYCLISME;Route;1;MONTREVEL EN BRESSE
05/08/23;05/08/23;NOCTURNE DE LA VILLE D'AMBERT;Elites hommes (régional) et +;VELO CLUB AMBERTOIS ;Route;63;AMBERT
05/08/23;05/08/23;GRAND PRIX DU CRU FLEURIE;Elites hommes (régional) et +;V.C. VILLEFRANCHE BEAUJOLAIS;Route;69;FLEURIE
05/08/23;05/08/23;PRIX CYCLISTE DE VILLEREVERSURE;Open2 hommes et +;ST DENIS CYCLISME;Route;1;VILLEREVERSURE
05/08/23;05/08/23;PRIX CYCLISTE DE VILLEREVERSURE;Access hommes;ST DENIS CYCLISME;Route;1;VILLEREVERSURE
05/08/23;05/08/23;1ÈRE ÉPREUVE  SEMAINE CANTALIENNE  DES JEUNES;U17 hommes;A C V AURILLACOIS ;Route;15;REILHAC
31/07/23;02/08/23;TOUR DE L'AIN CADETS;U17 hommes;COMITE ORGANISATION TOUR DE L AIN;Route;1;DÉPARTEMENT DE L'AIN
30/07/23;30/07/23;GRAND PRIX DE LA VILLE ;U17 hommes;V C PAYS DE SAINT-FLOUR ;Route;15;NEUVÉGLISE
30/07/23;30/07/23;GRAND PRIX DE LA VILLE;Ecole de route;V C PAYS DE SAINT-FLOUR ;Route;15;NEUVÉGLISE
30/07/23;30/07/23;PRIX DE BELLIGNAT;Open2 hommes et +;E.C. ARBENT-MARCHON;Route;1;BELLIGNAT
30/07/23;30/07/23;GRIMPEE DE LA RAMAZ - TROPHEE DES GRIMPEES DE HAUTE SAVOIE;Grimpée chronométrée;Comité départemental Haute-Savoie FFC;Route;74;MIEUSSY  HAUTE SAVOIE
30/07/23;30/07/23;GRAND PRIX DE CHAMOUX SUR GELON ;Elite nationale hommes;CHAMBERY CYCLISME ORGANISATION;Route;73;CHAMOUX SUR GELON
30/07/23;30/07/23;GRAND PRIX DE CHAMOUX SUR GELON « TROPHÉE VINCENT LAVENU AG2R TEAM CITROEN»;U17 hommes;CHAMBERY CYCLISME ORGANISATION;Route;73;CHAMOUX SUR GELON
30/07/23;30/07/23;LÉLEX PAYS DE GEX CYCLO;Cyclosportive;ALPES VELO;Route;1;LÉLEX
25/07/23;25/07/23;GRAND PRIX DE COURS LA VILLE;Elite nationale hommes;COURS LA VILLE CYCLISME;Route;69;COURS LA VILLE
23/07/23;23/07/23;RANDONNÉE AU PROFIT DE LA RECHERCHE SUR LE DIABÈTE;Randonnée;VELO CLUB SANSAC ARPAJON ;Route;15;SENILHES (ARPAJON SUR CÈRE)
23/07/23;23/07/23;LES HAUTS DU RUESSIUM;U17 hommes;UNION CYCLISTE LE PUY EN VELAY ;Route;43;BLANZAC / SAINT PAULIEN
23/07/23;23/07/23;LES HAUTS DE RUESSIUM;Open1 hommes et +;UNION CYCLISTE LE PUY EN VELAY ;Route;43;BLANZAC / SAINTPAULIEN
23/07/23;23/07/23;LES HAUTS DU RUESSIUM;U19 hommes régional;UNION CYCLISTE LE PUY EN VELAY ;Route;43;BLANZAC / SAINT PAULIEN
23/07/23;23/07/23;GRAND PRIX DE VEAUCHE;Open1 hommes et +;U.C. FOREZ 42;Route;42;VEAUCHE
23/07/23;23/07/23;COURSE CYCLISAINTE DE SAINT DENIS LES BOURG;Open2 hommes et +;ST DENIS CYCLISME;Route;1;SAINT DENIS LES BOURG
23/07/23;23/07/23;COURSE CYCLISAINTE DE SAINT DENIS LES BOURG;Access hommes;ST DENIS CYCLISME;Route;1;SAINT DENIS LES BOURG
23/07/23;23/07/23;TOUR DE LA VALLEE DE LA TRAMBOUZE;U19 hommes fédéral;COURS LA VILLE CYCLISME;Route;69;COURS LA VILLE 
23/07/23;23/07/23;A VELO POUR LE DEPISTAGE DU CANCER DU SEIN;Randonnée;Comité départemental Haute-Savoie FFC;Route;74;DE LES HOUCHES À BONNEVILLE
23/07/23;23/07/23;LA CHATEL CHABLAIS LEMAN RACE;Cyclosportive;CHABLAIS LEMAN SPORT ORGANISATION;Route;74;CHATEL
23/07/23;23/07/23;AGGLO TOUR BOURG EN BRESSE;Elite nationale hommes;BOURG EN BRESSE AIN CYCLISME;Route;1;DOMSURE
22/07/23;22/07/23;PRIX DE LA MUNICIPALITE;U15+U17 femmes;VELO CLUB DE MAURIAC ;Route;15;CHALVIGNAC
22/07/23;22/07/23;PRIX DE LA MUNICIPALITE;U17 hommes;VELO CLUB DE MAURIAC ;Route;15;CHALVIGNAC
22/07/23;22/07/23;PRIX DE LA MUNICIPALITE;Ecole de route;VELO CLUB DE MAURIAC ;Route;15;CHALVIGNAC
22/07/23;22/07/23;GRAND PRIX CYCLISTE DU BEX D'YTRAC;Open1 hommes et +;SPRINTER CLUB AURILLACOIS;Route;15;LE BEX D'YTRAC (15130)
22/07/23;22/07/23;PROLOGUE FEMININ RONDE COSTELLOISE ;Elites femmes (régional) et +;G.O. COSTELLOIS 42;Route;42;LE COTEAU
22/07/23;22/07/23;RONDE COSTELLOISE;Open2 hommes et +;G.O. COSTELLOIS 42;Route;42;LE COTEAU
17/07/23;17/07/23;NOCTURNE DE LA VILLE D'AMBERT;Elites hommes (régional) et +;VELO CLUB AMBERTOIS ;Route;63;AMBERT
16/07/23;16/07/23;GRAND PRIX DE GLEIZE;Elites hommes (régional) et +;V.C. VILLEFRANCHE BEAUJOLAIS;Route;69;GLEIZE
16/07/23;16/07/23;GRAND PRIX DE LA VILLE ;Open1 hommes et +;V C PAYS DE SAINT-FLOUR ;Route;15;SAINT-FLOUR
16/07/23;16/07/23;PRIX DE DOMSURE;Open3 hommes et +;BOURG EN BRESSE AIN CYCLISME;Route;1;DOMSURE
16/07/23;16/07/23;PRIX DE DOMSURE;Elites femmes (régional) et +;BOURG EN BRESSE AIN CYCLISME;Route;1;DOMSURE
16/07/23;16/07/23;PRIX DE DOMSURE;U15 femmes;BOURG EN BRESSE AIN CYCLISME;Route;1;DOMSURE
16/07/23;16/07/23;PRIX DE DOMSURE;Access hommes;BOURG EN BRESSE AIN CYCLISME;Route;1;DOMSURE
15/07/23;15/07/23;L'AINDINOISE;Cyclosportive;ALPES VELO;Route;1;PARC DES OISEAUX > GRAND-COLOMBIER 
14/07/23;14/07/23;GRAND PRIX D ENNEZAT;U17 hommes;VELO CLUB RIOMOIS ;Route;63;ENNEZAT
14/07/23;14/07/23;GRAND PRIX D ENNEZAT;Open2 hommes et +;VELO CLUB RIOMOIS ;Route;63;ENNEZAT
14/07/23;14/07/23;GRAND PRIX DE CHARVIEU CHAVAGNEUX;Open2 hommes et +;CHARVIEU CHAVAGNEUX I.C.;Route;38;CHARVIEU CHAVAGNEUX
14/07/23;14/07/23;GRAND PRIX DE CHARVIEU CHAVAGNEUX;Elite nationale hommes;CHARVIEU CHAVAGNEUX I.C.;Route;38;CHARVIEU CHAVAGNEUX
13/07/23;13/07/23; CRITERIUM DE LA VILLE DE BRIOUDE;Open1 hommes et +;VELO SPORT BRIVADOIS ;Route;43;BRIOUDE
13/07/23;13/07/23;CRITERIUM DE LA VILLE DE BRIOUDE;Elites hommes (régional) et +;VELO SPORT BRIVADOIS ;Route;43;BRIOUDE
13/07/23;13/07/23;PROLOGUE CRITERIUM DE LA VILLE DE BRIOUDE;U17 hommes;VELO SPORT BRIVADOIS ;Route;43;BRIOUDE
12/07/23;16/07/23;AIN BUGEY VALROMEY TOUR;UCI Juniors;TOUR DU VALROMEY ORGANISATION;Route;1;
12/07/23;13/07/23;RANDO DU FREJUS;Randonnée;CHAMBERY CYCLISME ORGANISATION;Route;73;BARDONECHE MODANE MONT CENIS
12/07/23;13/07/23;RANDO DU FREJUS;Cyclosportive;CENTRE FORMATION POLE PERFORMANCE ESPOIRS DU SPORT FEMININ;Route;73;BARDONECHE 
11/07/23;11/07/23;PRIX DE LIGNEROLLES;Ecole de route;TEAM CYCLISTE MONTLUCON;Route;3;LIGNEROLLES
09/07/23;09/07/23;LA MAURIENNE CLASSIQUE CYCLO;Cyclosportive;CHAMBERY CYCLISME ORGANISATION;Route;73;SAINT JULIEN MONT DENIS CROIX DE FER
09/07/23;09/07/23;ETAPE DU TOUR ANNEMASSE-MORZINE;Cyclosportive;A.S.O;Route;74;
08/07/23;08/07/23;SEMI NOCTURNE DE MOULINS ( SPÉCIAL TOUR DE FRANCE);Elites hommes (régional) et +;R. O. MOULINS YZEURE AVERMES ;Route;3;MOULINS
08/07/23;08/07/23;SEMI NOCTURNE DE MOULINS ( SPÉCIAL TOUR DE FRANCE);Open2 hommes et +;R. O. MOULINS YZEURE AVERMES ;Route;3;MOULINS
